Name,Country,District,Latitude,Longitude,Language
Phonhong Central,LA,Phonhong,18.5,102.4,en
Thoulakhom Central,LA,Thoulakhom,18.5,102.4,en
Keooudom Central,LA,Keooudom,18.5,102.4,en
Kasi Central,LA,Kasi,18.5,102.4,en
Vangvieng Central,LA,Vangvieng,18.5,102.4,en
Feuang Central,LA,Feuang,18.5,102.4,en
Xanakham Central,LA,Xanakham,18.5,102.4,en
Med Central,LA,Med,18.5,102.4,en
Viengkham Central,LA,Viengkham,18.5,102.4,en
Hinherb Central,LA,Hinherb,18.5,102.4,en
Meun Central,LA,Meun,18.5,102.4,en
Pakxan Central,LA,Pakxan,18.4,103.66,en
Thaphabad Central,LA,Thaphabad,18.4,103.66,en
Pakkading Central,LA,Pakkading,18.4,103.66,en
Bolikhanh Central,LA,Bolikhanh,18.4,103.66,en
Khamkued Central,LA,Khamkued,18.4,103.66,en
Viengthong Central,LA,Viengthong,18.4,103.66,en
Xaychamphone Central,LA,Xaychamphone,18.4,103.66,en
Thakhek Central,LA,Thakhek,17.4,104.8,en
Mahaxay Central,LA,Mahaxay,17.4,104.8,en
Nongbok Central,LA,Nongbok,17.4,104.8,en
Hinboun Central,LA,Hinboun,17.4,104.8,en
Nhommalad Central,LA,Nhommalad,17.4,104.8,en
Bualapha Central,LA,Bualapha,17.4,104.8,en
Nakai Central,LA,Nakai,17.4,104.8,en
Xebangfay Central,LA,Xebangfay,17.4,104.8,en
Xaybouathong Central,LA,Xaybouathong,17.4,104.8,en
Khounkham Central,LA,Khounkham,17.4,104.8,en
Kaysonephomvihane Central,LA,Kaysonephomvihane,16.556,104.75,en
Outhoomphone Central,LA,Outhoomphone,16.556,104.75,en
Atsaphangthong Central,LA,Atsaphangthong,16.556,104.75,en
Phin Central,LA,Phin,16.556,104.75,en
Sepone Central,LA,Sepone,16.556,104.75,en
Nong Central,LA,Nong,16.556,104.75,en
Thapangthong Central,LA,Thapangthong,16.556,104.75,en
Songkhone Central,LA,Songkhone,16.556,104.75,en
Champhone Central,LA,Champhone,16.556,104.75,en
Xonnabuly Central,LA,Xonnabuly,16.556,104.75,en
Xaybuly Central,LA,Xaybuly,16.556,104.75,en
Vilabuly Central,LA,Vilabuly,16.556,104.75,en
Atsaphone Central,LA,Atsaphone,16.556,104.75,en
Xayphoothong Central,LA,Xayphoothong,16.556,104.75,en
Phalanxay Central,LA,Phalanxay,16.556,104.75,en
Saravane Central,LA,Saravane,15.7167,106.4167,en
Taoi Central,LA,Taoi,15.7167,106.4167,en
Toumlan Central,LA,Toumlan,15.7167,106.4167,en
Lakhonepheng Central,LA,Lakhonepheng,15.7167,106.4167,en
Vapy Central,LA,Vapy,15.7167,106.4167,en
Khongxedone Central,LA,Khongxedone,15.7167,106.4167,en
Laongarm Central,LA,Laongarm,15.7167,106.4167,en
Samuoi Central,LA,Samuoi,15.7167,106.4167,en
Lamarm Central,LA,Lamarm,15.3667,106.7333,en
Kaleum Central,LA,Kaleum,15.3667,106.7333,en
Dakcheung Central,LA,Dakcheung,15.3667,106.7333,en
Thateng Central,LA,Thateng,15.3667,106.7333,en
Pakse Central,LA,Pakse,15.12,105.79,en
Sanasomboon Central,LA,Sanasomboon,15.12,105.79,en
Bachiengchaleunsouk Central,LA,Bachiengchaleunsouk,15.12,105.79,en
Pakxong Central,LA,Pakxong,15.12,105.79,en
Pathoumphone Central,LA,Pathoumphone,15.12,105.79,en
Phonthong Central,LA,Phonthong,15.12,105.79,en
Champasak Central,LA,Champasak,15.12,105.79,en
Sukhuma Central,LA,Sukhuma,15.12,105.79,en
Moonlapamok Central,LA,Moonlapamok,15.12,105.79,en
Khong Central,LA,Khong,15.12,105.79,en
Xaysettha Central,LA,Xaysettha,14.81,106.84,en
Samakkhixay Central,LA,Samakkhixay,14.81,106.84,en
Sanamxay Central,LA,Sanamxay,14.81,106.84,en
Sanxay Central,LA,Sanxay,14.81,106.84,en
Phouvong Central,LA,Phouvong,14.81,106.84,en
Anouvong Central,LA,Anouvong,18.9,102.63,en
Thathom Central,LA,Thathom,18.9,102.63,en
Longchaeng Central,LA,Longchaeng,18.9,102.63,en
Hom Central,LA,Hom,18.9,102.63,en
Longsan Central,LA,Longsan,18.9,102.63,en
