Name,Country,District,DS Division,Latitude,Longitude,Language
Thateng,LA,Thateng,Thateng Central,15.3667,106.7333,en
Pakse,LA,Pakse,Pakse Central,15.12,105.79,en
Sanasomboon,LA,Sanasomboon,Sanasomboon Central,15.12,105.79,en
Bachiengchaleunsouk,LA,Bachiengchaleunsouk,Bachiengchaleunsouk Central,15.12,105.79,en
Pakxong,LA,Pakxong,Pakxong Central,15.12,105.79,en
Pathoumphone,LA,Pathoumphone,Pathoumphone Central,15.12,105.79,en
Phonthong,LA,Phonthong,Phonthong Central,15.12,105.79,en
Champasak,LA,Champasak,Champasak Central,15.12,105.79,en
Sukhuma,LA,Sukhuma,Sukhuma Central,15.12,105.79,en
Moonlapamok,LA,Moonlapamok,Moonlapamok Central,15.12,105.79,en
Khong,LA,Khong,Khong Central,15.12,105.79,en
Xaysettha,LA,Xaysettha,Xaysettha Central,14.81,106.84,en
Samakkhixay,LA,Samakkhixay,Samakkhixay Central,14.81,106.84,en
Sanamxay,LA,Sanamxay,Sanamxay Central,14.81,106.84,en
Sanxay,LA,Sanxay,Sanxay Central,14.81,106.84,en
Phouvong,LA,Phouvong,Phouvong Central,14.81,106.84,en
Anouvong,LA,Anouvong,Anouvong Central,18.9,102.63,en
Thathom,LA,Thathom,Thathom Central,18.9,102.63,en
Longchaeng,LA,Longchaeng,Longchaeng Central,18.9,102.63,en
Hom,LA,Hom,Hom Central,18.9,102.63,en
Longsan,LA,Longsan,Longsan Central,18.9,102.63,en
